COC(=O)O	000	methyl hydrogen carbonate
CCCCOCC(C(=O)O)N	73C	(2~{s})-2-azanyl-3-butoxy-propanoic acid
CCN1c2ccccc2C(=O)C1=O	73D	1-ethylindole-2,3-dione
c1ccc(cc1)c2[nH]c(nn2)C3C(C(C(C(O3)CO)O)O)O	73E	(1s)-1,5-anhydro-1-(5-phenyl-4h-1,2,4-triazol-3-yl)-d-glucitol
c1ccc(cc1)CCN2c3ccccc3C(=O)C2=O	73F	1-(2-phenylethyl)indole-2,3-dione
CCCCOC(=O)CN1c2ccccc2C(=O)C1=O	73G	butyl 2-[2,3-bis(oxidanylidene)indol-1-yl]ethanoate
c1ccc(cc1)CCN2c3ccc(cc3C(=O)C2=O)F	73H	5-fluoranyl-1-(2-phenylethyl)indole-2,3-dione
c1ccc2c(c1)-c3c(cccc3C2NC(=O)c4ccnc5c4cc[nH]5)c6[nH]c7ccc(cc7n6)F	73J	~{n}-[(9~{r})-4-(5-fluoranyl-1~{h}-benzimidazol-2-yl)-9~{h}-fluoren-9-yl]-1~{h}-pyrrolo[2,3-b]pyridine-4-carboxamide
CS(=O)(=O)c1ccc(cc1)c2cnc(n3c2nnc3)NCc4ccco4	73K	n-(furan-2-ylmethyl)-8-(4-methylsulfonylphenyl)-[1,2,4]triazolo[4,3-c]pyrimidin-5-amine
Cc1c(sc(n1)C)CN2c3ccc(cc3C(=O)N(C2=O)Cc4cnn(c4)C)S(NC5(CC5)C)(O)O	73L	1-[(2,4-dimethyl-1,3-thiazol-5-yl)methyl]-6-[[(1-methylcyclopropyl)amino]-bis(oxidanyl)-$l^{4}-sulfanyl]-3-[(1-methylpyrazol-4-yl)methyl]quinazoline-2,4-dione
N[Pt](N)(O)Cl	73M	bis(azanyl)-chloranyl-oxidanyl-platinum
C(CC(C(=O)O)NC(=O)O)CNC(=N)N	73N	(2~{s})-5-carbamimidamido-2-(carboxyamino)pentanoic acid
c1cc(ccc1CCC(C(=O)O)N)O	73O	(2~{s})-2-azanyl-4-(4-hydroxyphenyl)butanoic acid
C(CCN)CC(C(=O)O)NC(=O)O	73P	(2~{s})-6-azanyl-2-(carboxyamino)hexanoic acid
Cc1c2c(n(n1)C)N(c3ccc(cc3C2=O)Cl)O	73Q	6-chloro-9-hydroxy-1,3-dimethyl-1,9-dihydro-4h-pyrazolo[3,4-b]quinolin-4-one
CCCC1CC(CCC1N2CCC(C2=O)Nc3c4cc(ccc4ncn3)C(F)(F)F)N(C)C(C)C	73R	(3s)-1-{(1s,2r,4r)-4-[methyl(propan-2-yl)amino]-2-propylcyclohexyl}-3-{[6-(trifluoromethyl)quinazolin-4-yl]amino}pyrrolidin-2-one
c1ccc2c(c1)-c3c(cccc3C2NC(=O)c4c(cnc(n4)N)Cl)c5[nH]c6ccncc6n5	73S	2-azanyl-5-chloranyl-~{n}-[(9~{r})-4-(1~{h}-imidazo[4,5-c]pyridin-2-yl)-9~{h}-fluoren-9-yl]pyrimidine-4-carboxamide
Cc1c(cccc1N2C(=O)c3cccc(c3N(C2=O)C)F)c4c(cc(c5c4c6c([nH]5)CC(CC6)C(C)(C)O)C(=O)N)F	73T	6-fluoro-5-(r)-(3-(s)-(8-fluoro-1-methyl-2,4-dioxo-1,2-dihydroquinazolin-3(4h)-yl)-2-methylphenyl)-2-(s)-(2-hydroxypropan-2-yl)-2,3,4,9-tetrahydro-1h-carbazole-8-carboxamide
Cc1ccc(cc1N2CC(=O)NS2(=O)=O)c3ccc(cc3)NC	73U	5-[4-methyl-4'-(methylamino)[1,1'-biphenyl]-3-yl]-1lambda~6~,2,5-thiadiazolidine-1,1,3-trione
CCCNC(=O)C1C(O1)C(=O)NC(C(C)CC)C(=O)N2CCCC2C(=O)OCc3ccccc3	73V	benzyl n-({(2s,3s)-3-[(propylamino)carbonyl]oxiran-2-yl}carbonyl)-l-isoleucyl-l-prolinate
C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=S)(O)S)O)O	73W	5'-o-[(dithiophosphono)]cytidine
c1cc(c(cc1N2CCN(CC2)c3cnc(nc3N)N)Cl)Cl	73X	5-[4-(3,4-dichlorophenyl)piperazin-1-yl]pyrimidine-2,4-diamine
c1ccc2c(c1)cc(cn2)c3cccc4c3-c5ccccc5C4NC(=O)c6c(cnc7c6nc[nH]7)Br	73Y	6-bromanyl-~{n}-[(9~{r})-4-quinolin-3-yl-9~{h}-fluoren-9-yl]-3~{h}-imidazo[4,5-b]pyridine-7-carboxamide
Cc1cn(c2c1C(=O)CC(C2)(C)C)c3ccc(c(c3)NC4CCC(=O)CC4)C(=O)N	73Z	2-[(4-oxidanylidenecyclohexyl)amino]-4-(3,6,6-trimethyl-4-oxidanylidene-5,7-dihydroindol-1-yl)benzamide
c1cc(ccc1CC(=O)Nc2c3cc(ccc3[nH]n2)N4CCCS4(=O)=O)N5CCCCC5	740	n-[5-(1,1-dioxidoisothiazolidin-2-yl)-1h-indazol-3-yl]-2-(4-piperidin-1-ylphenyl)acetamide
Cn1ccnc1Sc2ccc(cc2Cl)Nc3c4cc(c(cc4ncc3C#N)OCCCN(C)CCO)OC	741	4-[[3-chloro-4-(1-methylimidazol-2-yl)sulfanyl-phenyl]amino]-7-[3-(2-hydroxyethyl-methyl-amino)propoxy]-6-methoxy-quinoline-3-carbonitrile
CCCCCCCCCCCC[P+](C)(C)CC(P(=O)(O)O)P(=O)(O)O	742	(2,2-diphosphonoethyl)(dodecyl)dimethylphosphonium
CCCC(=NOCc1ccc(cc1)c2ccc(cc2)F)C3C(=O)CC(C(C3=O)C#N)(C)C	743	(1r,5r)-5-{(1z)-n-[(4'-fluorobiphenyl-4-yl)methoxy]butanimidoyl}-2,2-dimethyl-4,6-dioxocyclohexanecarbonitrile
Cc1ccc(cc1NC(=O)C2CC(=O)N(C2)C3CCCCC3)Cl	744	(3s)-n-(5-chloro-2-methylphenyl)-1-cyclohexyl-5-oxopyrrolidine-3-carboxamide
[H]N=C(c1ccc2cc(ccc2c1)C3CC3c4ccccc4)N	745	trans-6-(2-phenylcyclopropyl)-naphthalene-2-carboxamidine
Cc1c(cccc1NC(=O)c2ccc(cc2)C(C)(C)C)C3=CN(C(=O)C(=N3)Nc4ccc(cc4)C(=O)N5CCOCC5)C	746	4-tert-butyl-n-[2-methyl-3-(4-methyl-6-{[4-(morpholin-4-ylcarbonyl)phenyl]amino}-5-oxo-4,5-dihydropyrazin-2-yl)phenyl]benzamide
CN1C(=NC(=Cc2cc(c(c(c2)F)O)F)C1=O)C=NO	747	(5z)-5-[(3,5-difluoro-4-hydroxyphenyl)methylidene]-2-[(e)-(hydroxyimino)methyl]-3-methyl-3,5-dihydro-4h-imidazol-4-one
Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4ccc(cc4)CN(CCN(C)C)C(=O)c5cccnc5	748	n-[2-(dimethylamino)ethyl]-n-[[4-[[4-methyl-3-[(4-pyridin-3-ylpyrimidin-2-yl)amino]phenyl]carbamoyl]phenyl]methyl]pyridine-3-carboxamide
CC(=CCCC(=CCC(CC=C(C)CCC=C(C)C)(P(=O)(O)O)P(=O)(O)O)C)C	749	[(6e,11e)-2,6,12,16-tetramethylheptadeca-2,6,11,15-tetraene-9,9-diyl]bis(phosphonic acid)
CCCN(CCC)C(=O)c1cc(cc(c1)C(=O)NC(Cc2cc(cc(c2)F)F)C(C3CN(CCN3)C(=O)c4ccccc4)O)C	74A	n'-{(1s,2s)-1-(3,5-difluorobenzyl)-2-hydroxy-2-[(2r)-4-(phenylcarbonyl)piperazin-2-yl]ethyl}-5-methyl-n,n-dipropylbenzene-1,3-dicarboxamide
c1c(c(cc(c1C23COC(CC2CSC(=N3)N)CF)F)F)CNCC(F)(F)F	74B	(4ar,6r,8as)-8a-(2,4-difluoro-5-{[(2,2,2-trifluoroethyl)amino]methyl}phenyl)-6-(fluoromethyl)-4,4a,5,6,8,8a-hexahydropyrano[3,4-d][1,3]thiazin-2-amine
[CH3]	74C	methyl radical
Cc1c(c2ccccc2n1C(C)C3CCN(CC3)CC(C)(F)F)C(=O)NCC4C(=CC(=NC4=O)C)OC	74D	1-[(1~{r})-1-[1-[2,2-bis(fluoranyl)propyl]piperidin-4-yl]ethyl]-~{n}-[(4-methoxy-6-methyl-2-oxidanylidene-3~{h}-pyridin-3-yl)methyl]-2-methyl-indole-3-carboxamide
Cc1cn(c2c1C(=O)CC(C2)(C)C)c3ccc(c(c3)NC4CCC(CC4)O)C(=O)N	74E	2-[(4-oxidanylcyclohexyl)amino]-4-(3,6,6-trimethyl-4-oxidanylidene-5,7-dihydroindol-1-yl)benzamide
CC(c1nc(nn1C)c2cnc(c(n2)n3c4ccccc4nn3)N)N5CCOCC5	74F	3-(benzotriazol-1-yl)-5-[1-methyl-5-[(1~{s})-1-morpholin-4-ylethyl]-1,2,4-triazol-3-yl]pyrazin-2-amine
C[n+]1ccc(c2c1cccc2)CC3N(c4ccccc4S3)CC(=O)NCCOCCOCCOCCNC(=O)CCCCC5C6C(CS5)NC(=O)N6	74G	4-{[(2s)-3-{2,16-dioxo-20-[(3as,4s,6ar)-2-oxohexahydro-1h-thieno[3,4-d]imidazol-4-yl]-6,9,12-trioxa-3,15-diazaicosan-1-yl}-2,3-dihydro-1,3-benzothiazol-2-yl]methyl}-1-methylquinolin-1-ium
Cn1c(nc(n1)c2cnc(c(n2)n3ccc(n3)C(=O)N)N)C4(CC4)c5ccccc5	74H	1-[3-azanyl-6-[1-methyl-5-(1-phenylcyclopropyl)-1,2,4-triazol-3-yl]pyrazin-2-yl]pyrazole-3-carboxamide
Cn1c(nc(n1)c2cnc(c(n2)n3cc(cn3)C(=O)N)N)C4(CC4)c5ccccc5	74J	1-[3-azanyl-6-[1-methyl-5-(1-phenylcyclopropyl)-1,2,4-triazol-3-yl]pyrazin-2-yl]pyrazole-4-carboxamide
Cn1c(nc(n1)c2cnc(c(n2)c3cnn(c3)C(=O)N)N)C4(CC4)c5ccccc5	74K	4-[3-azanyl-6-[1-methyl-5-(1-phenylcyclopropyl)-1,2,4-triazol-3-yl]pyrazin-2-yl]pyrazole-1-carboxamide
Cn1c(nc(n1)c2cnc(c(n2)c3cnn(c3)S(=O)(=O)N(C)C)N)C4(CC4)c5ccccc5	74L	4-[3-azanyl-6-[1-methyl-5-(1-phenylcyclopropyl)-1,2,4-triazol-3-yl]pyrazin-2-yl]-~{n},~{n}-dimethyl-pyrazole-1-sulfonamide
CCCNC(=O)C1C(O1)C(=O)NC(C(C)CC)C(=O)N2CCCC2C(=O)OC	74M	methyl n-({(2s,3s)-3-[(propylamino)carbonyl]oxiran-2-yl}carbonyl)-l-isoleucyl-l-prolinate
Cn1c(nc(n1)c2cnc(c(n2)c3ccc(cc3)C(=O)N)N)C4(CC4)c5ccccc5	74N	4-[3-azanyl-6-[1-methyl-5-(1-phenylcyclopropyl)-1,2,4-triazol-3-yl]pyrazin-2-yl]benzamide
Cn1c(nc(n1)c2cnc(c(n2)c3c[nH]nc3)N)C4(CC4)c5ccccc5	74O	5-[1-methyl-5-(1-phenylcyclopropyl)-1,2,4-triazol-3-yl]-3-(1~{h}-pyrazol-4-yl)pyrazin-2-amine
CC(=O)CC(=NCCCCC(C(=O)O)N)C(=O)O	74P	(e)-n~6~-(1-carboxy-3-oxobutylidene)-l-lysine
Cn1c(nc(n1)c2cnc(c(n2)n3c4ccccc4nn3)N)C5(CC5)c6ccccc6	74Q	3-(benzotriazol-1-yl)-5-[1-methyl-5-(1-phenylcyclopropyl)-1,2,4-triazol-3-yl]pyrazin-2-amine
C[N+]1(C2CCC1CC(C2)n3cc(nn3)Cn4c5ccccc5c6c4cccc6)CCc7ccccc7	74S	9-[[1-[8-methyl-8-(2-phenylethyl)-8-azoniabicyclo[3.2.1]octan-3-yl]triazol-4-yl]methyl]carbazole 
CC(C)CN(CC(C(Cc1ccccc1)NC(=O)OC2COC3C2CCO3)O)S(=O)(=O)c4ccc5c(c4)sc(n5)NC6CCN(CC6)C7CCCC7	74T	(3r,3as,6ar)-hexahydrofuro[2,3-b]furan-3-yl
{(2s,3r)-4-[({2-[(1-cyclopentylpiperidin-4-yl)amino]-1,3-benzothiazol-6-yl}sulfonyl)(2-methylpropyl)amino]-3-hydroxy-1-p
henylbutan-2-yl}carbamate
c1ccc(cc1)c2nc3ccccc3c(n2)NCc4ccco4	74U	n-[(furan-2-yl)methyl]-2-phenylquinazolin-4-amine
CCN(C1CCCNC1)C(=O)c2cnc(nc2NCc3ccco3)C	74V	n-ethyl-4-{[(furan-2-yl)methyl]amino}-2-methyl-n-[(3s)-piperidin-3-yl]pyrimidine-5-carboxamide
CC1=CN(C(=O)NC1=O)C2CC(C(O2)CNC(=S)Nc3ccc(c(c3)C(F)(F)F)Cl)O	74W	1-[4-chloranyl-3-(trifluoromethyl)phenyl]-3-[[(2r,3s)-5-[5-methyl-2,4-bis(oxidanylidene)pyrimidin-1-yl]-3-oxidanyl-oxolan-2-yl]methyl]thiourea
CC1=CN(C(=O)NC1=O)C2CC(C(O2)CNC(=S)Nc3ccc(c(c3)C(F)(F)F)Cl)O	74X	1-[4-chloranyl-3-(trifluoromethyl)phenyl]-3-[[(2r,3s)-5-[5-methyl-2,4-bis(oxidanylidene)pyrimidin-1-yl]-3-oxidanyl-oxol
an-2-yl]methyl]thiourea
Cc1ccc(c(n1)NCc2ccco2)C(=O)N3CCCCCC3	74Y	(azepan-1-yl)(2-{[(furan-2-yl)methyl]amino}-6-methylpyridin-3-yl)methanone
c1cc(oc1)CNc2c3c4c(sc3ncn2)CCCC4	74Z	n-[(furan-2-yl)methyl]-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4-amine
CC(C)CC(C(=O)NC1CCCN(CC1=O)C(=O)Cc2cccc(c2)c3ccccn3)NC(=O)c4cc5cc(ccc5o4)OCCN6CCOCC6	750	5-(2-morpholin-4-ylethoxy)benzofuran-2-carboxylic acid ((s)-3-methyl-1-{(s)-3-oxo-1-[2-(3-pyridin-2-ylphenyl)acetyl]azepan-4-ylcarbamoyl}butyl)amide
COc1ccc(cc1)c2cccc(c2)S(=O)(=O)N3CCN(CC3)c4c(nccn4)c5ccc(cc5)OC	751	2-{4-[(4'-methoxybiphenyl-3-yl)sulfonyl]piperazin-1-yl}-3-(4-methoxyphenyl)pyrazine
c1ccc(c(c1)c2[nH]c(nn2)SCC(=O)Nc3nc4ccccc4s3)C(=O)O	752	2-[5-[2-(1,3-benzothiazol-2-ylamino)-2-oxidanylidene-ethyl]sulfanyl-4~{h}-1,2,4-triazol-3-yl]benzoic acid
Cc1c2c(nc(nc2sc1C(=O)O)CCc3ccccc3)NC	753	5-methyl-4-(methylamino)-2-(2-phenylethyl)thieno[2,3-d]pyrimidine-6-carboxylic acid
CCCOc1cc2c(cc1C(=CC=CC(=CC(=O)O)C)C)C(CCC2(C)C)(C)C	754	(2e,4e,6z)-3-methyl-7-(5,5,8,8-tetramethyl-3-propoxy-5,6,7,8-tetrahydronaphthalen-2-yl)octa-2,4,6-trienoic acid
CC(C)(C)C(=O)NC1CCCC1CNc2cc(ccc2C(=O)O)Cl	755	4-chloro-2-[({(1s,2s)-2-[(2,2-dimethylpropanoyl)amino]cyclopentyl}methyl)amino]benzoic acid
Cc1cc2cc(ccc2o1)C(=O)N3CCCC(C3)c4[nH]c5ccccc5n4	756	[(3s)-3-(1h-benzimidazol-2-yl)piperidin-1-yl](2-methyl-1-benzofuran-5-yl)methanone
CC(C)C(C(=O)Nc1cc(cc(c1)C(=O)O)C(=O)O)NC(=O)CC(C(COc2cc(cc(c2)F)F)NC(=O)c3cc(cc(c3)N(C)S(=O)(=O)C)C(=O)NC(C)c4ccccc4)O	757	5-[[(2s)-2-[[(3r,4s)-5-(3,5-difluorophenoxy)-3-hydroxy-4-[[3-(methyl-methylsulfonyl-amino)-5-[[(1r)-1-phenylethyl]carbamoyl]phenyl]carbonylamino]pentanoyl]amino]-3-methyl-butanoyl]amino]benzene-1,3-dicarboxylic acid
CC(C)(C)C(=O)NCc1ccc(c(c1)C(=O)Nc2[nH]ccn2)Cl	758	2-chloro-5-{[(2,2-dimethylpropanoyl)amino]methyl}-n-(1h-imidazol-2-yl)benzamide
Cc1c(sc-2c1C(=NC(c3n2c(nn3)C)CC(=O)NCCOCCOCCOCC(=O)NC(C(=O)N4CC(CC4C(=O)NCc5ccc(cc5)C6=C(NCS6)C)O)C(C)(C)C)c7ccc(cc7)Cl)C	759	(2~{s},4~{r})-1-[(2~{s})-2-[2-[2-[2-[2-[2-[(9~{s})-7-(4-chlorophenyl)-4,5,13-trimethyl-3-thia-1,8,11,12-tetrazatricyclo[8.3.0.0^{2,6}]trideca-2(6),4,7,10,12-pentaen-9-yl]ethanoylamino]ethoxy]ethoxy]ethoxy]ethanoylamino]-3,3-dimethyl-butanoyl]-~{n}-[[4-(4-methyl-2,3-dihydro-1,3-thiazol-5-yl)phenyl]methyl]-4-oxidanyl-pyrrolidine-2-carboxamide
CC(=O)NC(Cc1ccc(cc1)C(F)(F)P(=O)(O)O)C(=O)NC(CCCNC(=O)c2cccc(c2)I)C(=O)N	75A	n-acetyl-4-[difluoro(phosphono)methyl]-l-phenylalanyl-n~5~-(3-iodobenzoyl)-l-ornithinamide
c1cc([se]c1)C2=CN(C(=O)NC2=O)C3C(C(C(O3)COP(=O)(O)O)O)O	75B	5-selenophen-2-yluridine 5'-(dihydrogen phosphate)
CC(C)(COP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(CS(=O)(=O)NCC1C(C(C(O1)n2cnc3c2ncnc3N)O)O)C(CO)N)O	75C	5'-({[(2r,3s)-3-amino-4-hydroxy-2-{[2-({n-[(2r)-2-hydroxy-3,3-dimethyl-4-(phosphonooxy)butanoyl]-beta-alanyl}amino)ethyl]sulfanyl}butyl]sulfonyl}amino)-5'-deoxyadenosine
CC(C)c1cc(c(c(c1)C(C)C)S(=O)(=O)O)C(C)C	75D	2,4,6-tri(propan-2-yl)benzenesulfonic acid
c1csc(c1C2=CNC(=O)C=C2)c3cc(n4c(n3)c(cn4)C#N)NC5CC5	75E	7-(cyclopropylamino)-5-[3-(6-oxo-1,6-dihydropyridin-3-yl)thiophen-2-yl]pyrazolo[1,5-a]pyrimidine-3-carbonitrile
CCC1(c2cn[nH]c2N=C3C1C(=O)CC(C3)(C)C)c4ccccc4	75F	(4s,4as)-4-ethyl-7,7-dimethyl-4-phenyl-1,4,4a,6,7,8-hexahydro-5h-pyrazolo[3,4-b]quinolin-5-one
c1nc2c(nc(nc2n1C3C(C4C(O3)COP(=O)(O4)S)O)Cl)N	75G	(2s,4ar,6r,7r,7as)-6-(6-amino-2-chloro-9h-purin-9-yl)-7-hydroxy-2-sulfanyltetrahydro-2h,4h-2lambda~5~-furo[3,2-d][1,3,2]dioxaphosphinin-2-one
CC1=C(C(=O)N(N1CC(C)(C)O)c2ccccc2)C(=O)Nc3ccc(c(c3)F)Oc4ccnc5c4ccc(c5)OC	75H	n-{3-fluoro-4-[(7-methoxyquinolin-4-yl)oxy]phenyl}-1-(2-hydroxy-2-methylpropyl)-5-methyl-3-oxo-2-phenyl-2,3-dihydro-1h-pyrazole-4-carboxamide
CC#CCn1c2c(nc1N3CCCC(C3)N)-n4ccnc4N(C2=O)Cc5ccccc5C#N	75J	2-({2-[(3r)-3-aminopiperidin-1-yl]-3-(but-2-yn-1-yl)-4-oxo-3,4-dihydro-5h-imidazo[2,1-b]purin-5-yl}methyl)benzonitrile
Cc1nc2c(o1)C=C(OC2=O)C	75K	2,6-dimethyl-4h-pyrano[3,4-d][1,3]oxazol-4-one
CC#CCn1c2c(nc1N3CCCC(C3)N)N4CCCN(C4=NC2=O)Cc5nc(c6ccccc6n5)C	75L	2-[(3r)-3-aminopiperidin-1-yl]-3-(but-2-yn-1-yl)-6-[(4-methylquinazolin-2-yl)methyl]-6,7,8,9-tetrahydropyrimido[2,1-b]purin-4(3h)-one
CC#CCn1c2c(nc1N3CCCC(C3)N)-n4ccnc4N(C2=O)Cc5ccc(cc5)C#N	75M	4-({2-[(3r)-3-aminopiperidin-1-yl]-3-(but-2-yn-1-yl)-4-oxo-3,4-dihydro-5h-imidazo[2,1-b]purin-5-yl}methyl)benzonitrile
CC#CCn1c2c(nc1N3CCCC(C3)N)-n4ccnc4N(C2=O)Cc5nc(c6ccccc6n5)C	75N	2-[(3r)-3-aminopiperidin-1-yl]-3-(but-2-yn-1-yl)-5-[(4-methylquinazolin-2-yl)methyl]-3h-imidazo[2,1-b]purin-4(5h)-one
CN(C)c1ccc(c(n1)OC)c2cc3c(cc2Cl)[nH]cc3C(=O)O	75O	6-chloro-5-[6-(dimethylamino)-2-methoxypyridin-3-yl]-1h-indole-3-carboxylic acid
COc1cc2c(cc1OCCN)nc(nc2NCCCCCN3CCCC3)N4CCCC4	75P	7-(2-aminoethoxy)-6-methoxy-2-(pyrrolidin-1-yl)-n-[5-(pyrrolidin-1-yl)pentyl]quinazolin-4-amine
Cc1ccc(c(n1)C)COc2c(cc(cc2Cl)c3ccnc(c3)N4CCNCC4)Cl	75Q	1-(4-{3,5-dichloro-4-[(2,6-dimethylpyridin-3-yl)methoxy]phenyl}pyridin-2-yl)piperazine
Cc1ccnc(c1COc2c(cc(cc2Cl)c3ccnc(c3)N4CCNCC4)Cl)C	75R	1-(4-{3,5-dichloro-4-[(2,4-dimethylpyridin-3-yl)methoxy]phenyl}pyridin-2-yl)piperazine
Cc1c(cccn1)COc2c(cc(cc2Cl)c3ccnc(c3)N4CCNCC4)Cl	75S	1-(4-{3,5-dichloro-4-[(2-methylpyridin-3-yl)methoxy]phenyl}pyridin-2-yl)piperazine
Cc1c(cccn1)COc2ccc(cc2)c3cccc(c3)C4CCNCC4	75T	2-methyl-3-({[3'-(piperidin-4-yl)[1,1'-biphenyl]-4-yl]oxy}methyl)pyridine
CCOC(=O)c1c(n(c2c1c(c(c(c2)Br)O)CN(C)C)C)CSc3ccccc3	75U	ethyl 6-bromo-4-[(dimethylamino)methyl]-5-hydroxy-1-methyl-2-[(phenylsulfanyl)methyl]-1h-indole-3-carboxylate
CCC(C)C(C(=O)NC(C)C(=O)O)NC(=O)C1C(O1)C(=O)OCC	75V	n-{[(2s,3s)-3-(ethoxycarbonyl)oxiran-2-yl]carbonyl}-l-isoleucyl-l-alanine
c1cc(ccc1N=N)S(=O)(=O)N	75W	4-[(e)-diazenyl]benzene-1-sulfonamide
Cc1c(cccc1O)c2[nH]c3c(n2)nc(nc3OCC4CCCCC4)N	75X	3-[2-amino-6-(cyclohexylmethoxy)-7h-purin-8-yl]-2-methylphenol
c1cc(ccc1NC(=O)CN2C(=O)C=CC2=O)S(=O)(=O)N	75Y	2-[2,5-bis(oxidanylidene)pyrrol-1-yl]-~{n}-(4-sulfamoylphenyl)ethanamide
c1cc(ccc1c2cc(c(c(c2)O)O)C(=O)NCCc3[nH]c(nn3)c4ccc5c(c4)nc[nH]5)F	75Z	n-[2-[5-(1h-benzimidazol-5-yl)-4h-1,2,4-triazol-3-yl]ethyl]-5-(4-fluorophenyl)-2,3-dihydroxybenzamide
c1ccc(cc1)CNc2c3ccccc3nc4c2CCCC4	760	9-(3-phenylmethylamino)-1,2,3,4-tetrahydroacridine
c1ccc2cc(c(cc2c1)C(=O)O)NC(=O)C(=O)O	761	3-(oxalyl-amino)-naphthalene-2-carboxylic acid
c1ccc(cc1)c2cccc(c2[O-])c3[nH]c4cc(c(cc4n3)C(=[NH2+])N)Cl	762	3-{5-[amino(iminio)methyl]-6-chloro-1h-benzimidazol-2-yl}-1,1'-biphenyl-2-olate
c1cc(ccc1c2cc(c(c(c2)O)O)C(=O)NCCCOCn3ccc4c3ccnc4)F	763	5-(4-fluorophenyl)-2,3-dihydroxy-n-[3-(pyrrolo[3,2-c]pyridin-1-ylmethoxy)propyl]benzamide
c1nc(c2c(n1)n(cn2)C3C(C(C(O3)C[N+]4(CC4)CCC(C(=O)O)N)O)O)N	765	5'-{1-[(3s)-3-amino-3-carboxypropyl]aziridin-1-ium-1-yl}-5'-deoxyadenosine
c1cc(ccc1c2cc(c(c(c2)O)O)C(=O)NCCCCc3cc4cnccc4s3)F	766	5-(4-fluorophenyl)-2,3-dihydroxy-n-(4-thieno[3,2-c]pyridin-2-ylbutyl)benzamide
CN(C)CCCNc1nc2cc(c(cc2c(n1)N(C)C)OC)OC	767	n2-(3-(dimethylamino)propyl)-6,7-dimethoxy-n4,n4-dimethylquinazoline-2,4-diamine
[H]N=C1N(c2ccccc2N1CC(COc3ccc(cc3Cl)Cl)O)CCN4CCCCC4	768	(2r)-1-(2,4-dichlorophenoxy)-3-[(2e)-2-imino-3-(2-piperidin-1-ylethyl)-2,3-dihydro-1h-benzimidazol-1-yl]propan-2-ol
c1cc(ccc1c2cc(c(c(c2)O)O)C(=O)NCCC=CCn3ccc4c3ccnc4)F	769	5-(4-fluorophenyl)-2,3-dihydroxy-n-[(e)-5-pyrrolo[3,2-c]pyridin-1-ylpent-3-enyl]benzamide
c1cc(ccc1c2ccc(cc2)O)c3c4c([nH]n3)-c5ccc(cc5C4)C(=O)NC6CCC(CC6)O	76A	3-(4'-hydroxybiphenyl-4-yl)-n-(4-hydroxycyclohexyl)-1,4-dihydroindeno[1,2-c]pyrazole-6-carboxamide
Cc1cc(ccn1)c2nc([nH]n2)CCNC(=O)c3cc(cc(c3O)O)c4ccc(cc4)F	76B	5-(4-fluorophenyl)-2,3-dihydroxy-n-[2-[5-(2-methylpyridin-4-yl)-4h-1,2,4-triazol-3-yl]ethyl]benzamide
Cc1c(cncc1F)N2C(=O)c3c(cccc3Cl)N=C2C(C)Nc4c(c(nc(n4)N)N)C#N	76C	2,4-bis(azanyl)-6-[[(1~{s})-1-[5-chloranyl-3-(5-fluoranyl-4-methyl-pyridin-3-yl)-4-oxidanylidene-quinazolin-2-yl]ethyl]amino]pyrimidine-5-carbonitrile
CC(C)c1cc(c(c(c1)C(C)C)C(=O)O)C(C)C	76D	2,4,6-tri(propan-2-yl)benzoic acid
c1cc(cc(c1)S(=O)(=O)N2CCOc3ccc(cc3C2)NC(=O)c4c(cccc4Cl)F)C(F)(F)F	76E	2-chloro-6-fluoro-n-[4-[3-(trifluoromethyl)phenyl]sulfonyl-3,5-dihydro-2h-1,4-benzoxazepin-7-yl]benzamide
c1cc(ccc1c2cc(c(c(c2)O)O)C(=O)NCCCCc3cc4ccncc4s3)F	76G	5-(4-fluorophenyl)-2,3-dihydroxy-n-(4-thieno[2,3-c]pyridin-2-ylbutyl)benzamide
CCC[NH2+]C(CCC(C(=O)O)[NH3+])CC1C(C(C(O1)n2cnc3c2ncnc3N)O)O	76H	[(2~{s},5~{r})-1-[(2~{r},3~{s},4~{r},5~{r})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]-5-azaniumyl-6-oxidanyl-6-oxidanylidene-hexan-2-yl]-propyl-azanium
CCCCC[NH2+]C(CCC(C(=O)O)[NH3+])CC1C(C(C(O1)n2cnc3c2ncnc3N)O)O	76J	[(2~{s},5~{s})-1-[(2~{r},3~{s},4~{r},5~{r})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]-5-azaniumyl-6-oxidanyl-6-oxidanylidene-hexan-2-yl]-pentyl-azanium
c1nc(c2c(n1)n(cn2)C3C(C(C(O3)CC(CCC(C(=O)O)[NH3+])[NH2+]CCCO)O)O)N	76K	[(2~{s},5~{r})-1-[(2~{r},3~{s},4~{r},5~{r})-5-(6-aminopurin-9-yl)-3,4-bis(oxidanyl)oxolan-2-yl]-5-azaniumyl-6-oxidanyl-6-oxidanylidene-hexan-2-yl]-(3-oxidanylpropyl)azanium
